Name,Address,Type,Property Age,No. of units,Transactions in last 180 days,Latest transaction unit price
寶德大廈,皇后大道西540-546號,單幢物業,35,53,-,-
尼斯花園,皇后大道西513號,單幢物業,26,84,-,-
KENSINGTON HILL,高街98號,單幢物業,2,77,-,-
保基大廈,保德街6-20號,單幢物業,37,88,-,-
恆輝大廈,薄扶林道22-32號,單幢物業,44,87,-,-
瑞華閣,高街100號,單幢物業,42,96,-,-
興漢大廈,興漢道15號,單幢物業,45,96,-,-
文光閣,士美非路12號,單幢物業,21,110,-,-
AVA 128,德輔道西124-128號,單幢物業,2,64,-,-
東蔚苑,皇后大道西419G號,單幢物業,25,63,-,-
采逸軒,西環北街12A,單幢物業,15,75,-,-
城暉大廈,堅彌地城海旁27號,單幢物業,27,75,-,-
金陵大廈,屈地街10-20號,單幢物業,55,72,-,-
美新大廈,吉席街55-57號,單幢物業,54,131,-,-
豐業大廈,德輔道西347-349號,單幢物業,43,132,-,-
浚峰,爹核士街11號,單幢物業,2,135,-,-
天興大廈,德輔道西295-305號,單幢物業,52,132,-,-
?德山,西邊街38號,單幢物業,1,168,-,-
星鑽,第三街88號,單幢物業,2,258,-,-
恆陞大樓,高街48-78號,單幢物業,46,251,-,-
瑧蓺,西源里1號,單幢物業,0,250,-,-
聯基新樓,卑路乍街124-134號,單幢物業,46,268,-,-
永興樓,皇后大道西476-482號,單幢物業,53,81,-,-
富裕大廈,高街53-65號,單幢物業,40,90,-,-
正德大廈,德輔道西260-264號,單幢物業,51,89,-,-
百好大樓,皇后大道西554-560號,單幢物業,50,88,-,-
金坤大廈,德輔道西163-173號,單幢物業,37,82,-,-
翰林峰,皇后大道西460號,屋苑,0,645,-,-
金陵閣,和合街1-3號,屋苑,39,220,-,-
珍珠閣,卑路乍街13號,屋苑,38,368,-,-
華輝大廈,士美非路26-34號,單幢物業,41,92,-,-
太康大廈,荷蘭街1D號,單幢物業,35,92,-,-
銀行大廈,德輔道西259-269號,單幢物業,53,100,-,-
偉景閣,干諾道西165-166號,單幢物業,31,149,-,-
美城大廈,皇后大道西501-511號,單幢物業,53,117,-,-
瑧璈,德輔道西321號,單幢物業,1,191,-,-
再輝大廈,卑路乍街16-18號,單幢物業,29,224,-,-
海怡半島,海怡路6號,屋苑,23~27,9813,60,$15591
愉景灣,大嶼山,屋苑,7~36,8330,180,$9981
貝沙灣,數碼港道,屋苑,10~14,2862,40,$30604
置富花園,置富道9號,屋苑,37~40,4333,37,$13592
香港仔中心,南寧街11號,屋苑,36~39,2804,35,$13220
南灣,鴨?洲海旁道8號,屋苑,8,715,19,$20278
深灣軒,鴨?洲徑,屋苑,14,1046,18,$16968
漁安苑,漁安苑道3號,屋苑,30,1960,15,$9683
利東?,利東?道5號,屋苑,0,7268,14,$7040
碧瑤灣,域多利道550號,屋苑,39~43,1543,13,$14302
漁暉苑,漁光道45號,屋苑,37~38,1320,13,$12588
雅濤閣,深灣道11號,屋苑,17,1540,12,$10553
